Word,Frequency
bjp,295
bkash,343
bkc,147
blackout,8
blazing,16
ble,341
bleak,28
blend,2198
blended,371
blessed,79
blissful,188
block,4940
blockchain,6003
blockchains,833
blockdaemon,343
blocked,135
blocker,344
blocking,417
blood,225
bloomberg,2190
blowing,19
blu,52
blue,1379
bnb,438
bnpl,380
board,7955
boarding,754
boast,1359
boasting,726
boat,492
bode,377
body,3782
bog,343
bogus,31
boil,35
boiler,346
bold,614
bollywood,356
bolster,534
bolstering,923
boman,28
bombay,1137
bonafide,6
bond,3714
bonus,895
book,1664
booking,1822
bookseva,343
boom,316
booming,129
boost,7248
boosted,1023
boosting,1493
booth,364
borivali,708
born,576
borne,393
borrower,2567
borrowing,1243
bos,400
bottle,1187
bottleneck,383
bought,2441
boundless,434
bournvita,33
bout,198
boutique,391
boxy,7
boy,418
braced,52
brain,423
brake,59
branch,900
brand,10312
branded,141
branding,456
brazil,314
brazilian,85
breadth,426
breadwinner,690
break,891
breaking,978
breakthrough,525
breathed,347
breather,207
breathtaking,879
breeze,210
brent,445
brewery,354
brewing,367
brian,822
brics,196
bridge,822
bridging,451
briefed,11
briefing,490
brighter,650
brightest,39
brilliance,290
brilliant,141
bring,5528
bringing,2341
brings,2592
brink,397
britain,549
british,590
broad,665
broadcasted,348
broadcasting,410
broader,1805
broke,774
broker,2421
brooklyn,352
brought,2418
brownfield,706
bruising,339
brunt,280
bse,3827
bsnl,2526
btig,692
budding,346
budget,25594
budgeted,257
buffer,267
build,5706
builder,969
building,9970
built,2607
bulk,560
bull,810
bullet,448
bullish,1414
buoyed,106
burden,4528
bureau,653
bureaucracy,107
bus,840
busiest,449
business,36793
businessman,162
bustling,1427
buteau,343
butted,336
buy,4308
buyback,768
buyer,3001
buying,5101
buzz,647
byju,890
bypassing,357
bytedance,472
ca,2514
cabana,234
cabin,463
cabinet,2100
cadbury,179
cafeteria,343
cagr,946
cairo,19
calculate,1086
calculated,926
calculator,2286
calendar,473
california,1225
called,3178
calm,825
calpine,2
camaraderie,364
came,4184
campaign,3064
campus,471
camtech,4
canada,1713
canadian,426
cancel,413
cancellation,741
cancelled,1263
cancelling,47
cancer,1622
candidature,345
candrium,2
capability,2350
capable,612
capacity,6582
capex,1306
capital,22330
capitalisation,696
capitalist,755
capped,537
capria,343
capricious,343
capture,2674
captured,2457
caput,1772
car,3177
carbon,9149
carbonated,356
carboncure,686
carbonquest,686
card,9080
cardano,599
care,5062
career,1087
carefree,46
carefully,1587
cargo,1869
carpet,150
carried,439
carrier,3882
carry,627
carrying,1286
case,11208
cash,3225
cashless,385
catalyse,15
catalyst,1169
category,3006
cater,1299
catered,99
catering,491
caters,1120
caught,880
cause,2457
caused,925
causing,963
caution,853
cautioned,588
cautious,925
cayman,693
cbdcs,359
cbdt,1132
cbic,1770
cctvs,193
ccu,1715
ccus,357
cd,182
ce,1734
cea,1401
celebrate,846
celebrated,455
celebrates,335
celebrating,437
celebration,1607
celebrity,116
celesta,359
cell,966
cement,2751
cent,25253
center,1779
centered,54
central,13940
centralised,1246
centralized,410
centrally,106
centre,8190
centric,594
century,179
ceo,17278
ceremony,269
certain,4596
certainly,1203
certainty,508
certificate,1863
certification,1870
certified,698
cervical,84
cfo,516
cftc,5836
cgi,343
cgst,1067
chain,5062
chair,2341
chaired,426
chairman,7317
chairmanship,726
chakravarthy,343
challenge,12967
challenging,1533
chamber,934
champion,3566
championship,4446
chamria,343
chance,1721
chandan,34
chandrayaan,343
chanel,345
change,12372
changed,1456
changi,18
changing,1358
changpeng,691
channel,1399
chaos,202
chapter,1056
characterization,343
charge,9729
chargebacks,699
charged,671
charging,1226
charmi,54
chart,1302
charter,741
chartered,753
chase,208
chat,437
chatra,1
cheap,512
cheaper,538
cheapest,78
cheat,361
cheating,65
check,5267
chembur,146
chemical,2820
chemist,346
chen,373
chenab,54
chennai,5739
cheque,135
cherish,84
chhatrapati,638
chhattisgarh,2387
chhetri,343
chi,1742
chicago,416
chief,11250
chikkamagaluru,343
child,3088
childcare,376
childhood,245
china,9684
chinese,4694
chip,1646
chirag,1400
chittoor,343
choice,4066
chokshi,486
chola,352
choose,3831
chooses,25
choosing,850
chopra,185
chord,348
chordia,1
chosen,456
chowk,136
chris,102
christian,24
chro,937
chronic,262
chu,344
chunk,427
cidco,108
cii,1165
cincotta,686
cio,59
circle,1031
circling,345
circuit,86
circular,1277
circulation,376
circumstance,671
circumvent,349
cisf,4
citi,97
citigroup,129
citing,2021
citizen,4480
city,19529
cityscape,343
civic,347
civil,4055
claim,6012
claimed,663
claiming,754
clampdown,350
clamped,335
clarification,192
clarifies,165
clarity,2993
clashing,159
class,4515
classic,590
claus,108
clause,1099
clean,1873
cleaner,72
cleaning,126
cleano2,343
cleanspark,343
clear,4331
clearance,852
cleared,469
clearer,87
clearing,1134
clearly,960
click,998
client,1734
climate,6918
climatic,361
climb,820
climbing,436
clinched,355
clinic,83
clinical,371
clocked,472
clonon,4
close,5373
closed,4374
closely,2557
closer,1430
closest,398
cloud,2035
club,1001
clubhouse,3051
clustered,345
co2,8648
coach,681
coalition,386
coarse,1372
coastal,611
cochin,376
coco,343
cocoa,68
coffee,615
cofounder,393
cohen,343
coimbatore,894
coin,4058
coinbase,5008
coincided,396
coined,384
coingecko,752
coinllectibles,342
coinswitch,354
cold,778
collaborate,793
collaboration,6140
collaborative,1148
collapse,966
collapsed,737
collateral,598
colleague,527
collected,1467
collecting,961
collection,4794
collective,734
collectively,413
collector,177
colombo,1082
combat,842
combination,964
combine,1513
combined,2878
come,16125
comeback,561
comfort,3859
comfortable,1225
coming,7258
command,780
commanded,25
commenced,650
commencement,411
commendable,809
commendation,27
commended,389
comment,2152
commerce,5001
commercial,7205
commercially,355
commingling,342
commission,3403
commissioned,405
commit,441
commitment,12674
committed,3161
committee,8375
committing,124
commodity,2418
common,3528
commonly,141
communal,345
communicated,73
communication,3584
community,13052
commute,402
commuting,619
company,78825
comparable,217
compare,372
compared,8076
comparison,451
compassion,184
compassionate,533
compensate,417
compensation,1234
compete,842
competes,728
competing,919
competition,3067
competitive,2091
competitiveness,1021
competitor,984
compiled,587
complaining,382
complaint,3602
complement,431
complete,2446
completed,1833
completely,1039
completing,536
completion,2242
complex,2092
compliance,6567
complicated,200
comply,1170
complying,410
component,2611
composite,477
composition,669
comprehensive,4161
compressed,711
comprise,393
comprises,1843
comprising,1449
comptroller,9
computational,387
compute,458
computer,1788
computing,1470
conceived,155
concentrate,59
concept,1134
conceptualized,10
concern,7715
concerned,769
concerning,801
concerted,273
conclave,4861
conclude,222
concluded,1603
concluding,457
conclusion,1185
concomitant,165
concrete,2820
concurred,352
condition,6774
conditioner,367
conducive,202
conduct,1819
conducted,1472
conducting,335
conference,4437
confidante,681
confidence,3086
confident,1482
confidential,488
confidently,371
confirmed,949
conflict,1257
confluence,423
conform,380
confronted,61
confusing,363
congestion,394
conglomerate,1930
conglomeration,144
congratulate,44
congratulated,472
congratulation,416
congress,2071
congruent,64
connect,2200
connected,1243
connecting,1312
connection,1570
connectivity,7190
connects,712
conscious,1906
consciousness,8
consecutive,2070
consensus,899
consent,123
consequence,532
consequently,537
consider,3447
considerable,457
considerably,83
consideration,1114
considered,1733
considering,3087
consistency,64
consistent,2099
consistently,1136
consists,846
consolidate,509
consolidated,769
consolidation,1171
consortium,1248
conspired,349
constance,343
constant,293
constantly,526
constituency,390
constitute,1175
constitutes,400
constitution,343
constrained,384
construction,3819
constructive,403
consult,619
consultancy,768
consultant,235
consultation,1884
consulting,1316
consumed,321
consumer,10575
consuming,404
consumption,4836
contact,877
contagious,176
contain,407
contained,327
container,555
containing,485
contemplating,66
contemporary,761
contend,378
contender,501
content,11300
contingency,369
continually,365
continue,9418
continued,3662
continues,3033
continuing,849
continuity,265
continuous,1054
continuously,786
continuum,90
contract,1841
contraction,590
contractor,371
contrast,2351
contribute,3232
contributed,1662
contributes,920
contributing,1925
contribution,5812
contributor,572
control,6470
controlled,813
controller,712
controlling,449
controversy,482
convene,98
convener,77
convenience,5222
convenient,1077
conveniently,439
convention,1510
conventional,875
converge,384
converged,349
converging,35
conversation,1018
conversion,2489
convert,2018
converted,563
convertible,390
conveyed,402
convince,369
coo,166
cook,871
cooking,790
cooperate,395
cooperation,3795
coordinated,398
coordination,561
cope,744
copper,549
core,4272
corner,1161
cornerstone,980
coronavirus,7
corp,439
corporate,5906
corporates,987
corporation,3409
corpus,2183
correct,2023
correction,1495
correctly,41
correlated,22
corridor,1257
cosmopolitan,334
cosmos,704
cost,15550
costly,1098
costsfor,1
council,2932
counsel,442
counseling,221
count,740
counted,85
counter,648
counterpart,482
country,30256
county,347
couple,1730
coupled,811
course,2136
court,8888
courteous,353
courtyard,193
cover,3460
coverage,5683
covered,4152
covering,591
covers2,343
covestro,343
coveted,805
covid,684
cozy,343
cp,75
cpc,75
cpp,12
cppib,3
crackdown,1589
crafted,1362
craghoppers,343
create,7205
created,3372
creates,680
creating,9413
creation,2867
creativity,258
creator,558
credai,1765
credit,14121
crescendo,343
crew,858
cricket,767
crime,1492
criminal,957
crisis,1316
criterion,1254
critical,12846
criticised,142
criticized,527
crm,707
crop,1350
crore,50965
cross,961
crossed,1013
crowded,67
crowned,27
crucial,5442
crude,1910
cruise,55
crunch,721
crypto,18337
cryptoassets,336
cryptocompare,343
cryptocurrencies,1887
cryptocurrency,5309
csmia,145
csmt,344
csr,970
cto,382
cue,334
cullinan,936
culmination,398
cultivating,450
cultivation,20
cultural,1256
culturally,369
culture,2210
cumulative,532
cupboard,83
curated,491
curative,902
curb,1435
cure,367
curly,343
currency,4385
current,11895
currently,7608
curtain,49
curve,477
cushion,727
custom,3684
customer,22279
customised,360
customize,523
customized,375
cut,10320
cutting,1235
cycle,1341
da,5560
daikin,345
daily,2197
dalal,333
damascus,3
dangerously,686
daniel,428
dapps,725
dark,577
data,23175
database,1675
date,7790
dated,832
dav,109
dawar,345
dawn,84
day,24944
daycare,345
deadline,2750
deal,4664
dealer,731
dealing,559
dealmaking,16
dealogic,10
dearness,2573
death,2334
debate,352
debenture,384
debit,153
debjani,346
debt,7323
debut,1023
dec,808
decade,7156
decarbonise,346
deccan,1034
deceitful,46
deceleration,459
december,5660
decent,478
decentraland,337
decentralised,519
decentralized,456
deception,342
decide,1147
decided,1505
deciding,538
decision,7057
deck,891
declared,717
declaring,359
decline,5909
declined,3188
declining,1860
deco,156
decrease,1678
decreased,2324
decriminalized,220
dedicated,4254
dedication,1384
deduct,112
deducted,1684
deduction,7823
deemed,165
deep,1918
deeper,1339
deeply,426
deeptech,695
deepti,343
default,2106
defaulted,408
defence,1901
defend,777
defendant,394
defense,1060
deferment,469
deferred,767
defi,1305
deficiency,421
deficit,2138
define,321
defined,1999
defining,156
definite,365
definition,1290
definitive,391
deflationary,161
defraud,345
defspace,343
defying,22
degree,691
dei,1007
delay,1854
delegate,702
delete,2
delhi,25013
deliberate,484
deliberated,1289
deliberation,452
delight,294
delighted,415
deliver,3387
deliverable,346
delivered,2767
delivering,3185
delivery,4423
deloitte,148
delphi,343
demand,13734
demanded,127
demat,129
demise,1165
democracy,209
democratic,361
demographic,539
demography,137
demonstrate,144
demonstrated,1958
demonstrates,1149
demonstrating,564
demonstration,431
demonstrator,350
denied,669
dented,17
denying,385
depart,709
departed,376
department,10864
departure,507
depend,660
dependence,566
dependency,133
depending,1208
depends,295
depicts,67
deplore,343
deploy,145
deployment,1093
deploys,345
deposit,8357
deposited,975
depositing,558
depositor,599
depository,161
depreciated,71
depreciation,624
dept,29
deputy,695
derivative,1163
derived,60
derogatory,220
described,765
desh,346
design,9118
designated,230
designed,8494
designer,284
desired,430
despite,6043
destination,2529
detailed,2086
detailing,378
detect,419
detected,73
detector,39
determination,1238
determine,1424
determined,492
determining,882
detract,80
detrimental,358
deva,220
devaluation,50
devastation,364
devaswom,343
develop,2732
developed,3123
developer,7357
developing,3664
developingeconomies,343
development,22955
develops,450
devendra,110
device,3734
devolution,246
devorin,9
devoted,249
devotee,350
dg,728
dgca,2341
dhanbad,343
dharmapuri,344
dhaval,177
dhawan,505
dhillon,344
dhimant,343
dhirubhai,389
dhruva,15
diagnosed,2575
diagnostic,313
dial,2121
dialani,343
dialing,9
dialogue,1481
diamond,968
dibb,686
didis,166
diesel,2753
diet,13
difference,1622
different,6518
differentiator,363
difficult,2410
difficulty,972
digga,83
digi,10
digit,177
digital,16874
digitalisation,875
digitalization,349
digitally,258
digitise,359
dignitary,785
diligence,484
dimension,505
diminish,14
dimple,4
dimpy,220
dinesh,232
dioxide,397
dip,1080
diplomatic,123
direct,3943
directed,1513
direction,2335
directive,552
directly,2956
director,12291
directorate,1539
directormohandas,285
disagreement,426
disagrees,353
disappointing,673
disaster,467
disbanded,19
disclaimer,9670
disclose,206
disclosed,1334
disclosure,1096
discontinued,394
discount,891
discounted,510
discover,864
discovered,804
discretion,115
discrimination,1164
discriminatory,32
discus,1656
discussed,2172
discussing,282
discussion,7633
disease,2905
disgorgement,343
dishwasher,4
disinterest,23
dismantle,348
dismissed,557
disorder,183
disparity,68
dispel,349
dispersed,3
dispersion,4
display,2294
displayed,1332
disposable,707
disposed,382
disputed,394
disrupt,489
disrupted,141
disrupting,90
disruption,1417
disruptive,411
dissatisfaction,48
dissimilar,343
dissolving,343
distance,685
distant,379
distinguished,1660
distort,353
distribute,420
distributed,1327
distribution,2835
district,1986
diva,108
diverging,15
diverse,4625
diversification,409
diversified,359
diversify,618
diversifying,509
diversity,898
diverting,686
divestment,373
dividend,1405
diving,366
division,1114
divyansh,342
dna,475
doctor,924
document,2398
documentation,606
dollar,4621
domestic,10910
domestically,583
dominance,687
dominant,582
dominated,209
dominates,401
dominic,74
domino,353
domnic,54
donald,2105
donate,372
door,489
dosti,74
dot,5467
double,2605
doubled,1392
doubling,646
doubt,1027
doubtful,344
dow,971
downshift,171
downside,164
dozen,516
dp,114
dpiit,390
dr,2662
drag,508
dragged,101
dragging,75
drained,3
dramatic,861
dramatically,456
draw,419
drawing,1199
drawn,633
dream,4220
dress,353
drew,269
drift,359
drink,198
drinking,556
drive,3607
driven,3617
driver,759
driving,5057
drone,870
drop,1407
dropped,3020
droupadi,81
drove,522
drp,83
dry,726
dse,343
dst,393
dual,784
dudeja,343
dummy,346
dumping,65
duo,412
duopoly,360
durability,16
durgapur,343
dusak,343
dust,366
dutta,701
duty,5527
dxc,354
dynamic,3000
eager,670
eagerly,132
earlier,7130
earliest,1390
early,6479
earmarked,391
earn,1265
earned,1346
earning,2430
earnings,3904
earth,1608
ease,3637
eased,1368
easier,1271
easiest,698
easily,1464
easing,1583
east,1952
easter,6
eastern,1504
easy,2327
eau,343
ec2023,1029
ecommerce,96
econic,686
economic,18838
economics,1051
economist,3096
economy,18418
ecosystem,6423
ecowrap,343
ed,459
eddie,351
edelweiss,62
edge,1274
edifice,190
edition,2923
education,6692
educational,3235
edutech,347
eeh,188
eeoc,3
effect,4615
effective,3802
effectively,1050
effectiveness,996
efficiency,2965
efficient,1900
efficiently,694
effort,9159
effortless,644
effortlessly,1061
eis,47
ejecting,329
eknath,106
el,313
elbers,2903
elderly,369
elected,1689
election,2660
electorate,9
electric,3471
electrical,770
electricity,2015
electrolysers,333
electronic,1664
electronically,372
electronics,2960
element,1796
elevate,1132
elevated,2219
elevates,367
elevation,797
eligibility,1249
eligible,3314
elimination,480
elliott,51
elon,1069
elpro,47
em,56
email,1432
emailed,70
embark,123
embassy,86
embedding,347
embody,238
embrace,812
embraced,133
emerge,389
emerged,3048
emergency,1960
emerging,5011
emeritus,444
emi,1209
emily,1
eminent,346
emirate,711
emission,3237
empathetic,354
emphasis,1910
emphasised,799
emphasized,1731
emphasizes,523
emphasizing,193
emphatically,82
empire,502
empirical,687
employ,353
employed,848
employee,20027
employer,3106
employing,680
employment,3857
empower,1607
empowered,420
empowering,2312
empowerment,292
empowers,373
enable,2096
enabled,3515
enabler,413
enablers,482
enables,1773
enabling,1963
enakshee,220
enclosure,372
encompasses,460
encompassing,278
encounter,116
encourage,2688
encouraged,1016
encourages,171
encouraging,1951
encryption,387
end,10997
endeavor,1300
endeavour,304
ended,2816
ending,1242
endorsed,248
endorsement,213
endowment,804
endure,246
endured,366
energy,12604
enforcement,637
engage,947
engaged,884
engagement,587
engaging,1342
engine,2997
engineer,1779
engineering,2776
enhance,7247
enhanced,3736
enhancement,274
enhances,944
enhancing,4169
enjoy,3759
enjoying,484
enjoys,197
enormous,1301
enroute,9
enshrined,5
ensuing,351
ensure,9701
ensured,657
ensures,3413
ensuring,4820
entail,93
enter,2100
entering,473
enterprise,2816
enters,407
entertainment,5515
enthusiasm,1601
enthusiast,892
enthusiastic,176
entire,3699
entirely,769
entitled,882
entitlement,44
entity,4537
entrance,477
entrepreneur,4603
entrepreneurship,2213
entry,1165
environment,4591
environmentally,468
epf,1286
epfo,944
epicentre,189
equal,1519
equality,1624
equation,361
equilibrium,340
equipment,3970
equipped,1086
equipping,198
equity,11332
era,2627
eradicated,343
ermotti,27
ernst,40
erode,372
eroded,391
erp,355
erstwhile,757
escalated,440
escalating,322
escalation,502
